serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
Pooled Sera Depleted with A2 preF ,RSV Long,2,0.0001029,G7,Depleted sera P2Long,Depleted_Sera_1,1.147,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV Long,2,3.429e-05,G8,Depleted sera P2Long,Depleted_Sera_1,0.6013,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV Long,2,1.143e-05,G9,Depleted sera P2Long,Depleted_Sera_1,0.8667,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV Long,2,3.81e-06,G10,Depleted sera P2Long,Depleted_Sera_1,0.7238,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,0.025,D2,Depleted sera P2Long,Depleted_Sera_1,0.02557,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,0.008333,D3,Depleted sera P2Long,Depleted_Sera_1,0.4355,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,0.002778,D4,Depleted sera P2Long,Depleted_Sera_1,0.8221,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,0.0009259,D5,Depleted sera P2Long,Depleted_Sera_1,0.8386,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,0.0003086,D6,Depleted sera P2Long,Depleted_Sera_1,1.313,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,0.0001029,D7,Depleted sera P2Long,Depleted_Sera_1,0.9725,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,3.429e-05,D8,Depleted sera P2Long,Depleted_Sera_1,1.046,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,1.143e-05,D9,Depleted sera P2Long,Depleted_Sera_1,1.169,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,1,3.81e-06,D10,Depleted sera P2Long,Depleted_Sera_1,1.003,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,0.025,E2,Depleted sera P2Long,Depleted_Sera_1,0.03362,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,0.008333,E3,Depleted sera P2Long,Depleted_Sera_1,0.3403,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,0.002778,E4,Depleted sera P2Long,Depleted_Sera_1,1.157,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,0.0009259,E5,Depleted sera P2Long,Depleted_Sera_1,1.138,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,0.0003086,E6,Depleted sera P2Long,Depleted_Sera_1,1.181,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,0.0001029,E7,Depleted sera P2Long,Depleted_Sera_1,1.188,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,3.429e-05,E8,Depleted sera P2Long,Depleted_Sera_1,0.8848,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,1.143e-05,E9,Depleted sera P2Long,Depleted_Sera_1,1.194,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV Long,2,3.81e-06,E10,Depleted sera P2Long,Depleted_Sera_1,0.8645,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,0.025,B2,Depleted sera P2Long,Depleted_Sera_1,0.0003081,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,0.008333,B3,Depleted sera P2Long,Depleted_Sera_1,0.0005085,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,0.002778,B4,Depleted sera P2Long,Depleted_Sera_1,0.00084,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,0.0009259,B5,Depleted sera P2Long,Depleted_Sera_1,0.001206,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,0.0003086,B6,Depleted sera P2Long,Depleted_Sera_1,0.08472,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,0.0001029,B7,Depleted sera P2Long,Depleted_Sera_1,0.2893,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,3.429e-05,B8,Depleted sera P2Long,Depleted_Sera_1,0.7791,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,1.143e-05,B9,Depleted sera P2Long,Depleted_Sera_1,0.7876,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,1,3.81e-06,B10,Depleted sera P2Long,Depleted_Sera_1,0.8617,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,0.025,C2,Depleted sera P2Long,Depleted_Sera_1,0.0006016,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,0.008333,C3,Depleted sera P2Long,Depleted_Sera_1,0.001771,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,0.002778,C4,Depleted sera P2Long,Depleted_Sera_1,0.003531,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,0.0009259,C5,Depleted sera P2Long,Depleted_Sera_1,0.01086,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,0.0003086,C6,Depleted sera P2Long,Depleted_Sera_1,0.1329,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,0.0001029,C7,Depleted sera P2Long,Depleted_Sera_1,0.3734,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,3.429e-05,C8,Depleted sera P2Long,Depleted_Sera_1,0.7105,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,1.143e-05,C9,Depleted sera P2Long,Depleted_Sera_1,0.8967,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV Long,2,3.81e-06,C10,Depleted sera P2Long,Depleted_Sera_1,1.095,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,0.025,F2,Depleted sera P2 A202,Depleted_Sera_1,0.1129,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,0.008333,F3,Depleted sera P2 A202,Depleted_Sera_1,0.5533,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,0.002778,F4,Depleted sera P2 A202,Depleted_Sera_1,0.957,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,0.0009259,F5,Depleted sera P2 A202,Depleted_Sera_1,0.8626,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,0.0003086,F6,Depleted sera P2 A202,Depleted_Sera_1,0.7865,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,0.0001029,F7,Depleted sera P2 A202,Depleted_Sera_1,0.7628,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,3.429e-05,F8,Depleted sera P2 A202,Depleted_Sera_1,1.056,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,1.143e-05,F9,Depleted sera P2 A202,Depleted_Sera_1,0.8237,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,1,3.81e-06,F10,Depleted sera P2 A202,Depleted_Sera_1,0.9466,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,0.025,G2,Depleted sera P2 A202,Depleted_Sera_1,0.1023,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,0.008333,G3,Depleted sera P2 A202,Depleted_Sera_1,0.6049,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,0.002778,G4,Depleted sera P2 A202,Depleted_Sera_1,0.8596,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,0.0009259,G5,Depleted sera P2 A202,Depleted_Sera_1,0.8991,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,0.0003086,G6,Depleted sera P2 A202,Depleted_Sera_1,0.9917,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,0.0001029,G7,Depleted sera P2 A202,Depleted_Sera_1,0.7177,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,3.429e-05,G8,Depleted sera P2 A202,Depleted_Sera_1,0.8644,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,1.143e-05,G9,Depleted sera P2 A202,Depleted_Sera_1,1.05,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV A 2020,2,3.81e-06,G10,Depleted sera P2 A202,Depleted_Sera_1,0.8109,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,0.025,D2,Depleted sera P2 A202,Depleted_Sera_1,0.3202,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,0.008333,D3,Depleted sera P2 A202,Depleted_Sera_1,0.6909,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,0.002778,D4,Depleted sera P2 A202,Depleted_Sera_1,0.7993,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,0.0009259,D5,Depleted sera P2 A202,Depleted_Sera_1,0.8237,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,0.0003086,D6,Depleted sera P2 A202,Depleted_Sera_1,0.795,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,0.0001029,D7,Depleted sera P2 A202,Depleted_Sera_1,0.9728,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,3.429e-05,D8,Depleted sera P2 A202,Depleted_Sera_1,0.9113,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,1.143e-05,D9,Depleted sera P2 A202,Depleted_Sera_1,0.8949,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,1,3.81e-06,D10,Depleted sera P2 A202,Depleted_Sera_1,1.022,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,0.025,E2,Depleted sera P2 A202,Depleted_Sera_1,0.3144,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,0.008333,E3,Depleted sera P2 A202,Depleted_Sera_1,0.789,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,0.002778,E4,Depleted sera P2 A202,Depleted_Sera_1,1.001,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,0.0009259,E5,Depleted sera P2 A202,Depleted_Sera_1,0.7366,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,0.0003086,E6,Depleted sera P2 A202,Depleted_Sera_1,0.9345,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,0.0001029,E7,Depleted sera P2 A202,Depleted_Sera_1,0.8906,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,3.429e-05,E8,Depleted sera P2 A202,Depleted_Sera_1,0.9746,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,1.143e-05,E9,Depleted sera P2 A202,Depleted_Sera_1,0.9144,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV A 2020,2,3.81e-06,E10,Depleted sera P2 A202,Depleted_Sera_1,0.9284,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,0.025,B2,Depleted sera P2 A202,Depleted_Sera_1,0.001501,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,0.008333,B3,Depleted sera P2 A202,Depleted_Sera_1,0.007104,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,0.002778,B4,Depleted sera P2 A202,Depleted_Sera_1,0.003784,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,0.0009259,B5,Depleted sera P2 A202,Depleted_Sera_1,0.1318,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,0.0003086,B6,Depleted sera P2 A202,Depleted_Sera_1,0.4431,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,0.0001029,B7,Depleted sera P2 A202,Depleted_Sera_1,0.7573,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,3.429e-05,B8,Depleted sera P2 A202,Depleted_Sera_1,0.7153,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,1.143e-05,B9,Depleted sera P2 A202,Depleted_Sera_1,0.8918,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,1,3.81e-06,B10,Depleted sera P2 A202,Depleted_Sera_1,0.9521,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,0.025,C2,Depleted sera P2 A202,Depleted_Sera_1,0.002251,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,0.008333,C3,Depleted sera P2 A202,Depleted_Sera_1,0.00372,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,0.002778,C4,Depleted sera P2 A202,Depleted_Sera_1,0.02378,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,0.0009259,C5,Depleted sera P2 A202,Depleted_Sera_1,0.1414,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,0.0003086,C6,Depleted sera P2 A202,Depleted_Sera_1,0.4555,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,0.0001029,C7,Depleted sera P2 A202,Depleted_Sera_1,0.7829,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,3.429e-05,C8,Depleted sera P2 A202,Depleted_Sera_1,0.9016,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,1.143e-05,C9,Depleted sera P2 A202,Depleted_Sera_1,0.7902,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV A 2020,2,3.81e-06,C10,Depleted sera P2 A202,Depleted_Sera_1,0.8413,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,0.025,F2,Depleted sera P2 B202,Depleted_Sera_1,0.09943,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,0.008333,F3,Depleted sera P2 B202,Depleted_Sera_1,0.3882,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,0.002778,F4,Depleted sera P2 B202,Depleted_Sera_1,0.7953,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,0.0009259,F5,Depleted sera P2 B202,Depleted_Sera_1,1.096,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,0.0003086,F6,Depleted sera P2 B202,Depleted_Sera_1,0.964,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,0.0001029,F7,Depleted sera P2 B202,Depleted_Sera_1,1.068,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,3.429e-05,F8,Depleted sera P2 B202,Depleted_Sera_1,1.188,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,1.143e-05,F9,Depleted sera P2 B202,Depleted_Sera_1,1.081,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,1,3.81e-06,F10,Depleted sera P2 B202,Depleted_Sera_1,1.133,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,0.025,G2,Depleted sera P2 B202,Depleted_Sera_1,0.06219,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,0.008333,G3,Depleted sera P2 B202,Depleted_Sera_1,0.4069,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,0.002778,G4,Depleted sera P2 B202,Depleted_Sera_1,0.7221,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,0.0009259,G5,Depleted sera P2 B202,Depleted_Sera_1,0.9836,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,0.0003086,G6,Depleted sera P2 B202,Depleted_Sera_1,1.154,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,0.0001029,G7,Depleted sera P2 B202,Depleted_Sera_1,1.22,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,3.429e-05,G8,Depleted sera P2 B202,Depleted_Sera_1,1.104,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,1.143e-05,G9,Depleted sera P2 B202,Depleted_Sera_1,1.123,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with A2 preF ,RSV B 2024,2,3.81e-06,G10,Depleted sera P2 B202,Depleted_Sera_1,1.252,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,0.025,D2,Depleted sera P2 B202,Depleted_Sera_1,0.1604,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,0.008333,D3,Depleted sera P2 B202,Depleted_Sera_1,0.4792,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,0.002778,D4,Depleted sera P2 B202,Depleted_Sera_1,0.9715,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,0.0009259,D5,Depleted sera P2 B202,Depleted_Sera_1,0.9034,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,0.0003086,D6,Depleted sera P2 B202,Depleted_Sera_1,0.9011,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,0.0001029,D7,Depleted sera P2 B202,Depleted_Sera_1,0.889,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,3.429e-05,D8,Depleted sera P2 B202,Depleted_Sera_1,1.05,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,1.143e-05,D9,Depleted sera P2 B202,Depleted_Sera_1,1.059,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,1,3.81e-06,D10,Depleted sera P2 B202,Depleted_Sera_1,1.11,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,0.025,E2,Depleted sera P2 B202,Depleted_Sera_1,0.1357,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,0.008333,E3,Depleted sera P2 B202,Depleted_Sera_1,0.5599,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,0.002778,E4,Depleted sera P2 B202,Depleted_Sera_1,0.8475,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,0.0009259,E5,Depleted sera P2 B202,Depleted_Sera_1,0.9314,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,0.0003086,E6,Depleted sera P2 B202,Depleted_Sera_1,1.089,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,0.0001029,E7,Depleted sera P2 B202,Depleted_Sera_1,1.211,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,3.429e-05,E8,Depleted sera P2 B202,Depleted_Sera_1,1.054,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,1.143e-05,E9,Depleted sera P2 B202,Depleted_Sera_1,1.026,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long F ,RSV B 2024,2,3.81e-06,E10,Depleted sera P2 B202,Depleted_Sera_1,1.116,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,0.025,B2,Depleted sera P2 B202,Depleted_Sera_1,0.002726,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,0.008333,B3,Depleted sera P2 B202,Depleted_Sera_1,0.002721,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,0.002778,B4,Depleted sera P2 B202,Depleted_Sera_1,0.01039,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,0.0009259,B5,Depleted sera P2 B202,Depleted_Sera_1,0.1934,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,0.0003086,B6,Depleted sera P2 B202,Depleted_Sera_1,0.4564,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,0.0001029,B7,Depleted sera P2 B202,Depleted_Sera_1,0.7748,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,3.429e-05,B8,Depleted sera P2 B202,Depleted_Sera_1,0.8899,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,1.143e-05,B9,Depleted sera P2 B202,Depleted_Sera_1,0.7706,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,1,3.81e-06,B10,Depleted sera P2 B202,Depleted_Sera_1,0.8302,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,2,0.025,C2,Depleted sera P2 B202,Depleted_Sera_1,0.003677,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,2,0.008333,C3,Depleted sera P2 B202,Depleted_Sera_1,0.005081,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,2,0.002778,C4,Depleted sera P2 B202,Depleted_Sera_1,0.04117,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,2,0.0009259,C5,Depleted sera P2 B202,Depleted_Sera_1,0.2003,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,2,0.0003086,C6,Depleted sera P2 B202,Depleted_Sera_1,0.5039,24.10.31_RSVNeut_ControlSera_Greninger
Pooled Sera Depleted with Long G,RSV B 2024,2,0.0001029,C7,Depleted sera P2 B202,Depleted_Sera_1,0.8806,24.10.31_RSVNeut_ControlSera_Greninger
