serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
Greninger1,RSV A2,1,0.025,F2,G1,Greninger_2,0.0002226,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,0.008333,F3,G1,Greninger_2,0.0002706,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,0.002778,F4,G1,Greninger_2,0.01187,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,0.0009259,F5,G1,Greninger_2,0.09212,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,0.0003086,F6,G1,Greninger_2,0.2064,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,0.0001029,F7,G1,Greninger_2,0.4939,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,3.429e-05,F8,G1,Greninger_2,0.8046,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,1.143e-05,F9,G1,Greninger_2,0.8412,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,1,3.81e-06,F10,G1,Greninger_2,1.019,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,0.025,G2,G1,Greninger_2,0.0001914,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,0.008333,G3,G1,Greninger_2,0.0002086,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,0.002778,G4,G1,Greninger_2,0.0002641,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,0.0009259,G5,G1,Greninger_2,0.04417,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,0.0003086,G6,G1,Greninger_2,0.2001,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,0.0001029,G7,G1,Greninger_2,0.5829,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,3.429e-05,G8,G1,Greninger_2,0.6872,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,1.143e-05,G9,G1,Greninger_2,0.8719,24.11.01_RSVNeut_Greninger_depletedsera
Greninger1,RSV A2,2,3.81e-06,G10,G1,Greninger_2,0.9332,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,0.025,D2,G1,Greninger_2,0.0002417,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,0.008333,D3,G1,Greninger_2,0.0002957,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,0.002778,D4,G1,Greninger_2,0.0008457,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,0.0009259,D5,G1,Greninger_2,0.007117,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,0.0003086,D6,G1,Greninger_2,0.3114,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,0.0001029,D7,G1,Greninger_2,0.5708,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,3.429e-05,D8,G1,Greninger_2,0.8098,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,1.143e-05,D9,G1,Greninger_2,0.9796,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,1,3.81e-06,D10,G1,Greninger_2,1.032,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,0.025,E2,G1,Greninger_2,0.0001571,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,0.008333,E3,G1,Greninger_2,0.0002556,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,0.002778,E4,G1,Greninger_2,0.001139,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,0.0009259,E5,G1,Greninger_2,0.01988,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,0.0003086,E6,G1,Greninger_2,0.2301,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,0.0001029,E7,G1,Greninger_2,0.6302,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,3.429e-05,E8,G1,Greninger_2,0.719,24.11.01_RSVNeut_Greninger_depletedsera
Greninger2,RSV A2,2,1.143e-05,E9,G1,Greninger_2,0.9594,24.11.01_RSVNeut_Greninger_depletedsera
