serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
Pooled Sera Depleted with A2 preF ,RSV Long,1,0.025,F2,Depleted sera P2Long,Depleted_Sera_1,0.0007527,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,0.008333,F3,Depleted sera P2Long,Depleted_Sera_1,0.106,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,0.002778,F4,Depleted sera P2Long,Depleted_Sera_1,0.6185,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,0.0009259,F5,Depleted sera P2Long,Depleted_Sera_1,0.8979,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,0.0003086,F6,Depleted sera P2Long,Depleted_Sera_1,0.9544,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,0.0001029,F7,Depleted sera P2Long,Depleted_Sera_1,0.6461,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,3.429e-05,F8,Depleted sera P2Long,Depleted_Sera_1,0.8485,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,1.143e-05,F9,Depleted sera P2Long,Depleted_Sera_1,0.9028,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,1,3.81e-06,F10,Depleted sera P2Long,Depleted_Sera_1,0.8868,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,2,0.025,G2,Depleted sera P2Long,Depleted_Sera_1,0.0005754,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,2,0.008333,G3,Depleted sera P2Long,Depleted_Sera_1,0.1217,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,2,0.002778,G4,Depleted sera P2Long,Depleted_Sera_1,0.6785,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,2,0.0009259,G5,Depleted sera P2Long,Depleted_Sera_1,0.8803,24.10.31_RSVNeut_ControlSera_Greninger,
Pooled Sera Depleted with A2 preF ,RSV Long,2,0.0003086,G6,Depleted sera P2Long,Depleted_Sera_1,0.9241,24.10.31_RSVNeut_ControlSera_Greninger,
